datetime,count
2011-01-20 00:00:00,11.94
2011-01-20 01:00:00,4.434
2011-01-20 02:00:00,3.93
2011-01-20 03:00:00,3.77
2011-01-20 04:00:00,3.03
2011-01-20 05:00:00,6.06
2011-01-20 06:00:00,42.31
2011-01-20 07:00:00,109.66
2011-01-20 08:00:00,249.8
2011-01-20 09:00:00,135.63666666666668
2011-01-20 10:00:00,63.74
2011-01-20 11:00:00,63.19
2011-01-20 12:00:00,87.66
2011-01-20 13:00:00,73.28333333333333
2011-01-20 14:00:00,79.27333333333333
2011-01-20 15:00:00,82.37
2011-01-20 16:00:00,87.9
2011-01-20 17:00:00,205.35
2011-01-20 18:00:00,181.8
2011-01-20 19:00:00,109.7
2011-01-20 20:00:00,69.92
2011-01-20 21:00:00,51.33
2011-01-20 22:00:00,46.44
2011-01-20 23:00:00,32.57
2011-01-21 00:00:00,15.33
2011-01-21 01:00:00,7.104
2011-01-21 02:00:00,4.410833333333333
2011-01-21 03:00:00,1.468333333333333
2011-01-21 04:00:00,1.345
2011-01-21 05:00:00,6.49
2011-01-21 06:00:00,36.26833333333334
2011-01-21 07:00:00,98.59
2011-01-21 08:00:00,208.22033333333331
2011-01-21 09:00:00,132.69
2011-01-21 10:00:00,51.01
2011-01-21 11:00:00,65.09
2011-01-21 12:00:00,80.04
2011-01-21 13:00:00,71.21
2011-01-21 14:00:00,67.69
2011-01-21 15:00:00,69.1
2011-01-21 16:00:00,84.44
2011-01-21 17:00:00,162.66333333333333
2011-01-21 18:00:00,148.255
2011-01-21 19:00:00,107.11
2011-01-21 20:00:00,63.27
2011-01-21 21:00:00,51.84
2011-01-21 22:00:00,43.54
2011-01-21 23:00:00,27.1
2011-01-22 00:00:00,25.61
2011-01-22 01:00:00,17.32
2011-01-22 02:00:00,13.02
2011-01-22 03:00:00,6.77
2011-01-22 04:00:00,3.17
2011-01-22 06:00:00,4.83
2011-01-22 07:00:00,12.88
2011-01-22 08:00:00,26.4
2011-01-22 09:00:00,33.718333333333334
2011-01-22 10:00:00,48.4
2011-01-22 11:00:00,56.52
2011-01-22 12:00:00,64.12
2011-01-22 13:00:00,63.46
2011-01-22 14:00:00,63.67
2011-01-22 15:00:00,62.87
2011-01-22 16:00:00,62.48
2011-01-22 17:00:00,85.92
2011-01-22 18:00:00,58.27
2011-01-22 19:00:00,33.71
2011-01-22 20:00:00,42.43
2011-01-22 21:00:00,39.88
2011-01-22 22:00:00,35.86
2011-01-22 23:00:00,26.52
2011-01-23 00:00:00,29.16
2011-01-23 01:00:00,18.09
2011-01-23 02:00:00,13.62
2011-01-23 03:00:00,9.62
2011-01-23 05:00:00,2.97
2011-01-23 06:00:00,2.82
2011-01-23 07:00:00,8.06
2011-01-23 08:00:00,16.38
2011-01-23 09:00:00,26.18666666666667
2011-01-23 10:00:00,46.7
2011-01-23 11:00:00,52.4
2011-01-23 12:00:00,70.86
2011-01-23 13:00:00,68.97
2011-01-23 14:00:00,72.38
2011-01-23 15:00:00,71.05
2011-01-23 16:00:00,74.44
2011-01-23 17:00:00,85.47
2011-01-23 18:00:00,74.69
2011-01-23 19:00:00,41.89
2011-01-23 20:00:00,43.18
2011-01-23 21:00:00,38.76
2011-01-23 22:00:00,17.21
2011-01-23 23:00:00,12.08
2011-01-24 00:00:00,11.22
2011-01-24 01:00:00,2.84
2011-01-24 03:00:00,1.88
2011-01-24 04:00:00,2.12
2011-01-24 05:00:00,4.21
2011-01-24 06:00:00,31.7
2011-01-24 07:00:00,88.63
2011-01-24 08:00:00,173.9
2011-01-24 09:00:00,108.13
2011-01-24 10:00:00,38.74
2011-01-24 11:00:00,38.35
2011-01-24 12:00:00,46.3
2011-01-24 13:00:00,46.37
2011-01-24 14:00:00,43.61
2011-01-24 15:00:00,51.44
2011-01-24 16:00:00,63.13
2011-01-24 17:00:00,153.495
2011-01-24 18:00:00,154.2675
2011-01-24 19:00:00,96.46
2011-01-24 20:00:00,58.69
2011-01-24 21:00:00,46.03
2011-01-24 22:00:00,24.57
2011-01-24 23:00:00,17.94
2011-01-25 00:00:00,8.6
2011-01-25 01:00:00,3.17
2011-01-25 02:00:00,2.06
2011-01-25 04:00:00,1.89
2011-01-25 05:00:00,5.54
2011-01-25 06:00:00,34.52166666666667
2011-01-25 07:00:00,89.57
2011-01-25 08:00:00,202.99
2011-01-25 09:00:00,124.625
2011-01-25 10:00:00,55.35133333333334
2011-01-25 11:00:00,56.33333333333334
2011-01-25 12:00:00,73.03333333333333
